"JSON-LD","*json* *ld*"
"JSON-LD","*ld* *json*"
"Vote Links","*rev=* *vote*"
"rel-tag","*rel=* *tag*"
"rel-license","*rel *license*"
"rel-enclosure","*rel* *enclosure*"
"XMDP","*<dt id=*"
"XFN","*rel=* *friend met*"
"XOXO","*class=* *xoxo*"
"hcard","*hcard*"
"vcard","*vcard*"
"div itemscope", "*div* *itemscope*"
"schema.org", "*schema.org*"
