hash,speed
35373a23b6f013004802888f9cf883eb,5.36
355f7d2eef3538ab91dd5d7998edaddf,2.681
35ec160da5a60911d2e860db0d695c16,5.997
367861d4122aafbab092657309157802,2.261
36bbfaba4303270fd10398b246fe9b8b,23.117
37357a7f1e72f2bcaa0546829b9a77c6,5.896
373d07d90bdc8e90c7951d168ea75d44,1.173
37f1b3dfc1270cb2898b851118c8186d,8.029
38f77da00de0afd210340bd2e94cb62c,11.775
398ef51cb2a9e0b8f63dd803857481d8,1.776
3b8fa27dabd062dac3cbc7eb84b74496,4.386
3b90795b3fead6eaa67a9192b54a363b,7.411
3bc57d4e4649bd75317a22fec82a467e,2.984
3c4642567c84509d55a0b85a2bc0ac48,2.59
3caad27e5dc17f52f5ba9c103b812315,2.504
3cb54cc7578492715782dc66f44c48bc,17.905
3dce4347c7586c7d92edad1d4315e32b,11.662
3e2545b34e53ac520510651f046d7776,3.623
3ea75017a1afb7a68cb7bb1e0babea22,1.103
3fe1a6ef32e2a54ec01c0ea6b0dc4896,16.242
40144e2d98ad309a71d05450b9f132d2,7.38
401bd1bf71d1841d96487a2acaa3d424,2.6
4037e1397d63525ce27682fd7e1798f7,4.619
4051f153f533704a9b4d92f9c441d408,4.461
40544dbf1f3f164a47ab6914524c056e,0.529
4077be40fc2ab35110a132bdcc1c4ff3,3.723
413db097c14d902b7fecf605764102f2,2.83
4164dcc30eb1a69359378e0b4d173f1a,0.883
41ca745871fb400f6c9501afcd554511,0.702
41cdf01f6a0cffc9c57952c1353a7ebb,4.87
421ddc61eeb12ae4dd0565fda83e0913,5.561
449c585d01a6ac56ce9e63f6953820ea,28.38
44dba0db2e828dbedadb066b9213c6f6,1.197
4520f319b1cbcc16b8438cdddffaa567,11.956
45ce5e62f6983b95a0b981b977b779f4,3.083
4676d21005f9747755177c8702792447,6.577
46e8fe37d4f8f9f1e9ed8df018930605,12.06
473ee8fde1e3ce5eb4fde40aee42c1c9,10.849
4762340fea5be72a4bd98b921e1a148d,-1.0
479ae833e07a6771c980e8744e0f81be,1.263
4805169b5a6236041551a2246fca6448,0.486
4809c10b029bdbd3fe1cbbfe6df7de06,12.656
48272218e4504db22fa0475cebbc06cb,1.783
48dedc4649a9c5d50edb683eab71aba2,5.306
49520ec5c3f41ad5c953601766ddd6f8,None
49c2168df7e687c22d62d3d529e96649,17.482
49e6766b46d766c7ea55a1dd6c103b85,3.023
49f8934fb55b72e7bc779d2a2aff0bb2,6.129
4a896c7c109ac58c3dbbc7e8ed44cd68,1.626
4ab7eec398642442c25676fcbdadffc1,15.986
4bfc47e8a050ecb86e97612067ccf904,6.682
4c5546011fbf376b168ded92f4b3f9b0,5.509
4ce3dde187817bc8d092e1711caf8180,18.694
4d206e82c9a289b3735989617968c96a,4.531
4dd7f04dc8bc14a6ea552ea1bcc19dbc,17.618
4e1aa8c58a140aaf9008fa406db30aca,3.872
4e37a069efff9824f5b4b1e983649230,6.508
50c08d691745feda8790011f7b39e2e7,2.499
51405a79f35331acab0b43c6b4bfa47e,29.247
52f1a0ab48f2eab1a120f8f16c68a253,8.048
536054a4ced989ae380fc3e21f21cd15,2.372
539d4f6cad604f338f55245c4bb2a394,12.706
541a848313065f5185d25726dd5be752,5.184
5442c8da6f6b562891b8f0fcd8830edf,5.716
54d9d89be1831c6362215cd7fb6ed590,1.104
55029d0c7da0c40416b34de27b8d8f42,0.741
5578759a04b75926257248334c2dfe41,4.281
55d3c88470a1486cdc7a533e6fa35a93,3.812
5648942afd18485492b7f1139e521fcb,2.263
5659f4497e0d5d4d44946a04d0c07607,5.047
568716acb138227fff7f87ca65fa8f30,4.482
56fc98187dbb5cc90bad5183aa2c8b85,2.592
5769de209681bd2c360f08f159ec62ad,6.582
5860488186a6f6a97930036090dc5323,9.733
592e83c4237ea2d27ceba3ead81d76d4,1.302
597317452e1de177d812fc96a299c5c6,0.472
597ded688436f68b0565ba96f4b9c564,4.48
5a6c44dc1b9b746b50dd6568f7d0da00,15.954
5aebd6f815336153c9e8ca8a3b74e703,1.365
5b0f98a1151e7b6833ff3a2fbaffed60,9.051
5b309d9bd6bc9317a949bfc96b1a1b92,4.202
5bc9bc6a8fe9f6b6a4e19890690781b3,6.382
5bdb7c2b06eeb609cb2a04d09bc0f53c,3.491
