hash,module,result
009e206cdd2f1b09d1dd22b8ecf9efb9,check word_count,9
009e206cdd2f1b09d1dd22b8ecf9efb9,check kw_count,6
009e206cdd2f1b09d1dd22b8ecf9efb9,check kw_in_url,1
009e206cdd2f1b09d1dd22b8ecf9efb9,check kw_in_description-og-name,0
009e206cdd2f1b09d1dd22b8ecf9efb9,check kw_in_description-og-property,0
009e206cdd2f1b09d1dd22b8ecf9efb9,check kw_in_href,2
009e206cdd2f1b09d1dd22b8ecf9efb9,check kw_in_link-text,1
009e206cdd2f1b09d1dd22b8ecf9efb9,check kw_in_source,3
009e206cdd2f1b09d1dd22b8ecf9efb9,check kw_in_meta-og,0
009e206cdd2f1b09d1dd22b8ecf9efb9,check kw_in_meta-description,1
009e206cdd2f1b09d1dd22b8ecf9efb9,check kw_in_meta-properties,0
009e206cdd2f1b09d1dd22b8ecf9efb9,check kw_in_meta-content,2
009e206cdd2f1b09d1dd22b8ecf9efb9,check kw_in_title-meta,0
009e206cdd2f1b09d1dd22b8ecf9efb9,check kw_in_title-og,0
009e206cdd2f1b09d1dd22b8ecf9efb9,check kw_in_title,1
009e206cdd2f1b09d1dd22b8ecf9efb9,check canonical,0
013ae7fc5925fb3f884bc11dc53593af,check url_length,60
013ae7fc5925fb3f884bc11dc53593af,robots_txt,1
013ae7fc5925fb3f884bc11dc53593af,source top,1
013ae7fc5925fb3f884bc11dc53593af,source shop,0
013ae7fc5925fb3f884bc11dc53593af,source search engine,0
013ae7fc5925fb3f884bc11dc53593af,source not optimized,0
013ae7fc5925fb3f884bc11dc53593af,source news,0
013ae7fc5925fb3f884bc11dc53593af,source known,0
013ae7fc5925fb3f884bc11dc53593af,source company,0
013ae7fc5925fb3f884bc11dc53593af,source ads,0
013ae7fc5925fb3f884bc11dc53593af,check h1,1
013ae7fc5925fb3f884bc11dc53593af,check nofollow,0
013ae7fc5925fb3f884bc11dc53593af,check wordpress,0
013ae7fc5925fb3f884bc11dc53593af,check sitemap,0
013ae7fc5925fb3f884bc11dc53593af,check og,1
013ae7fc5925fb3f884bc11dc53593af,micros counter,0
013ae7fc5925fb3f884bc11dc53593af,micros,0
013ae7fc5925fb3f884bc11dc53593af,check https,1
013ae7fc5925fb3f884bc11dc53593af,tools ads count,0
013ae7fc5925fb3f884bc11dc53593af,tools ads,0
013ae7fc5925fb3f884bc11dc53593af,tools social count,0
