results_studies_id,results_id,results_position,results_queries_id,results_url,results_main,results_se,hash
83,23327,69,339,"https://www.saechsische.de/coronavirus/coronavirus-sachsen-dresden-lockerungen-schule-deutschland-rki-delta-5176217.html","https://www.saechsische.de/",Google,265f22d14d8af8f2380238f944e28896
83,23312,54,339,"https://www.zeit.de/politik/ausland/2021-07/corona-weltweit-news-massnahmen-neuinfektionen-impfung-covid-19-live","https://www.zeit.de/",Google,266ff4872bcb1bc45514f31a5c532517
82,23059,188,336,"https://herzogtum-direkt.de/index.php/2021/07/18/hochwasser-in-nordrhein-westfalen-und-rheinland-pfalz-technische-einsatzhundertschaft-der-bundespolizeiabteilung-ratzeburg-verlegt/","https://herzogtum-direkt.de/",Google,26d5b2bfac162b407c5b76946f4ae93c
82,22901,30,336,"https://www.wwf.de/themen-projekte/fluesse-seen/hochwasser/hochwasser","https://www.wwf.de/",Google,28207da1927c88e74dc157b94110ea6b
82,23085,214,336,"https://www.johanniter.de/johanniter-unfall-hilfe/","https://www.johanniter.de/",Google,28e9492387cf8c1acfde41625fff2ff8
82,22889,18,336,"https://www.hvz.baden-wuerttemberg.de/","https://www.hvz.baden-wuerttemberg.de/",Google,2932b09f1126cc207301d9adf3fe3ff0
83,23280,22,339,"https://www.integrationsbeauftragte.de/ib-de/staatsministerin/corona","https://www.integrationsbeauftragte.de/",Google,293e2a2c431d14818503e8962b7676da
82,22888,17,336,"https://www.hnd.bayern.de/","https://www.hnd.bayern.de/",Google,29b6d1a64d85bae354008813a37a34b6
83,23202,12,338,"https://www.welt.de/themen/markus-soeder/","https://www.welt.de/",Google,2a10745f085cb8b909583134222860aa
82,22995,124,336,"https://www.heise.de/tp/news/Hochwasser-Wo-wiederaufbauen-6144680.html","https://www.heise.de/",Google,2a1fb13811f159aca3f23077d31c4c0d
82,22937,66,336,"https://www.presseportal.de/st/Hochwasser","https://www.presseportal.de/",Google,2a80cf66e934aa1848a2621466dde9d2
82,23113,22,337,"https://www.uni-augsburg.de/de/fakultaet/mntf/math/prof/dida/team/merkel/","https://www.uni-augsburg.de/",Google,2ade4224cd608604e82dc0d28fc442f1
83,23267,9,339,"https://www.morgenpost.de/vermischtes/article232765311/corona-biontech-moderna-johnson-nebenwirkung-rki-zahlen-news.html","https://www.morgenpost.de/",Google,2b06cc87d838ce4f30e4a72f380193e4
82,23159,68,337,"https://www.bild.de/politik/inland/politik-inland/flut-opfer-sollen-400-mio-euro-bekommen-merkel-verspricht-sofort-hilfe-77138532.bild.html","https://www.bild.de/",Google,2b4ef262bdd59713ebbda809449ec29a
82,23065,194,336,"https://www.hotelvor9.de/local/park-hotel-in-ahrensburg-steht-zum-verkauf","https://www.hotelvor9.de/",Google,2be90a04d73ce27b465bc256e805b93f
82,23120,29,337,"https://www.merkel-mic.de/de/","https://www.merkel-mic.de/",Google,2bf14adf78111d17b44902de371aa33a
83,23223,33,338,"https://www.infranken.de/person/markus-soeder/","https://www.infranken.de/",Google,2c05d61829cb34cd73ae8d7c9e81256c
82,22972,101,336,"https://taz.de/Hochwasser-in-West--und-Sueddeutschland/!5787468/","https://taz.de/",Google,2c4dc61eac778fdcbe9b1d237c48ba56
82,23142,51,337,"https://www.petra-merkel.de/","https://www.petra-merkel.de/",Google,2c961f3ed85e9971f4198eec6df18cf7
82,23095,4,337,"https://www.faz.net/aktuell/politik/thema/angela-merkel","https://www.faz.net/",Google,2ca486447a4f79113d0bad0781459ea4
82,22962,91,336,"https://www.rosarium-uetersen.de/Bilder/Galerie-Hochwasser","https://www.rosarium-uetersen.de/",Google,2d041b06bdaee1acfa372c0624cd38ee
82,22882,11,336,"https://www.swr.de/swraktuell/rheinland-pfalz/live-blog-hochwasser-rlp-100.html","https://www.swr.de/",Google,2d363db31569194294f82ee048c37129
82,23043,172,336,"https://www.uni-hamburg.de/newsroom/im-fokus/2020/0616-wakos-pm.html","https://www.uni-hamburg.de/",Google,2e2e0f1623a1a8e477d4328cdd336532
82,23104,13,337,"https://www.bundesregierung.de/breg-de","https://www.bundesregierung.de/",Google,2eb00775509cf21d818b15c0c5829941
83,23467,209,339,"https://walddoerfer-sv.de/aktuelles/corona-testzentrum-im-walddorfer-sportforum/","https://walddoerfer-sv.de/",Google,2ec6d3bea08d3d260bb57b67add83332
82,23186,95,337,"https://www.thw.de/DE/Startseite/startseite_node.html","https://www.thw.de/",Google,2f5f1d2ec7de7cb776f8bf7367c24987
83,23462,204,339,"https://ahrensburg-blog.de/corona-test-ahrensburg/","https://ahrensburg-blog.de/",Google,2fb1ec2906626f4029607ec566a6f04a
82,22893,22,336,"https://www.br.de/nachrichten/deutschland-welt/hochwasser-ticker-aktuelle-meldungen-zum-unwetter-in-deutschland,SdFZrEF","https://www.br.de/",Google,301609297dd10632c178ea2afb7d26c1
82,22879,8,336,"https://www.golem.de/news/hochwasser-in-deutschland-ein-handy-hilft-aber-nicht-im-katastrophenfall-2107-158317.html","https://www.golem.de/",Google,31201ab63c957551cca3e1a598ea1a10
82,22959,88,336,"https://www.dw.com/de/hochwasser-in-bayern-das-wird-wieder-passieren/a-58579231","https://www.dw.com/",Google,3150809595ca2e402e673aad5ecf8fdf
82,22905,34,336,"https://www.faz.net/aktuell/gesellschaft/thema/hochwasser","https://www.faz.net/",Google,31d923fcb3b47c8415703fbe5937c758
